Edge { left: 3131, right: 3860, weight: Weight(160) }
Edge { left: 3131, right: 9401, weight: Weight(575) }
Edge { left: 1043, right: 3860, weight: Weight(835) }
Edge { left: 1043, right: 9275, weight: Weight(300) }
Edge { left: 813, right: 1043, weight: Weight(968) }
Edge { left: 813, right: 5906, weight: Weight(619) }
Edge { left: 4513, right: 5906, weight: Weight(629) }
Edge { left: 813, right: 5327, weight: Weight(653) }
Edge { left: 5327, right: 9933, weight: Weight(615) }
Edge { left: 4265, right: 9933, weight: Weight(564) }
Edge { left: 5980, right: 9401, weight: Weight(1011) }
Edge { left: 3695, right: 5980, weight: Weight(535) }
Edge { left: 2057, right: 3695, weight: Weight(678) }
Edge { left: 3695, right: 4045, weight: Weight(693) }
Edge { left: 4045, right: 7565, weight: Weight(593) }
Edge { left: 1776, right: 7565, weight: Weight(116) }
Edge { left: 2057, right: 8344, weight: Weight(735) }
Edge { left: 5327, right: 5994, weight: Weight(1048) }
Edge { left: 2449, right: 5994, weight: Weight(901) }
Edge { left: 1516, right: 2449, weight: Weight(301) }
Edge { left: 1516, right: 2271, weight: Weight(899) }
Edge { left: 2646, right: 4381, weight: Weight(1137) }
Edge { left: 2646, right: 9254, weight: Weight(1121) }
Edge { left: 4432, right: 9254, weight: Weight(193) }
Edge { left: 4432, right: 5326, weight: Weight(745) }
Edge { left: 5326, right: 8954, weight: Weight(113) }
Edge { left: 3460, right: 5326, weight: Weight(898) }
Edge { left: 3460, right: 3821, weight: Weight(327) }
Edge { left: 3114, right: 3821, weight: Weight(293) }
Edge { left: 3114, right: 6824, weight: Weight(331) }
Edge { left: 3133, right: 6824, weight: Weight(349) }
Edge { left: 3133, right: 7387, weight: Weight(520) }
Edge { left: 3821, right: 4169, weight: Weight(776) }
Edge { left: 4169, right: 4655, weight: Weight(748) }
Edge { left: 515, right: 3460, weight: Weight(779) }
Edge { left: 515, right: 2136, weight: Weight(467) }
Edge { left: 77, right: 2136, weight: Weight(293) }
Edge { left: 4655, right: 8979, weight: Weight(887) }
Edge { left: 4693, right: 8954, weight: Weight(1083) }
Edge { left: 4693, right: 8720, weight: Weight(239) }
Edge { left: 7994, right: 8720, weight: Weight(513) }
Edge { left: 2136, right: 6813, weight: Weight(1118) }
Edge { left: 3414, right: 6813, weight: Weight(746) }
Edge { left: 2944, right: 3414, weight: Weight(230) }
Edge { left: 1792, right: 3414, weight: Weight(1092) }
Edge { left: 1792, right: 7405, weight: Weight(644) }
Edge { left: 746, right: 2944, weight: Weight(1107) }
